#Horror;3.3;101;Drama|Horror|Mystery|Thriller;Tara Subkoff;Timothy Hutton;Balthazar Getty;Lydia Hearst;bullying|cyberbullying|girl|internet|throat slitting
The Addams Family;6.8;99;Comedy|Fantasy;Barry Sonnenfeld;Anjelica Huston;Raul Julia;Carel Struycken;accountant|loan shark|macabre|uncle|uncle fester
The Adjustment Bureau;7.1;106;Romance|Sci-Fi|Thriller;George Nolfi;Matt Damon;Michael Kelly;Jon Stewart;love at first sight|obscene finger gesture|rain|teleportation|three word title
The Adventurer: The Curse of the Midas Box;5.4;100;Adventure|Family|Fantasy;Jonathan Newman;Ioan Gruffudd;Keeley Hawes;Oliver Stark;based on novel|drowning|hanging from a flagpole|hanging from a rope|magic
The Adventures of Elmo in Grouchland;5.8;73;Adventure|Comedy|Family|Fantasy|Musical;Gary Halvorson;Vanessa Williams;Kevin Clash;Caroll Spinney;based on tv series|blanket|box office flop|rescue|sesame street
The Adventures of Ford Fairlane;6.3;104;Action|Adventure|Comedy|Crime|Music|Mystery;Renny Harlin;Lauren Holly;Gilbert Gottfried;David Patrick Kelly;detective|groupie|murder|music industry|rock n roll
The Adventures of Huck Finn;6.2;108;Adventure|Comedy|Drama|Family;Stephen Sommers;Curtis Armstrong;Frances Conroy;Anne Heche;boy|lesson|mississippi river|river|slave
The Adventures of Pinocchio;5.3;90;Adventure|Family|Fantasy|Musical;Steve Barron;Martin Landau;Udo Kier;Bebe Neuwirth;based on novel|human becoming an animal|slow motion|transformation|young boy
The Adventures of Pluto Nash;3.8;95;Action|Comedy|Sci-Fi;Ron Underwood;Rosario Dawson;Randy Quaid;Burt Young;casino|future|laser gun|moon|nightclub
The Adventures of Rocky & Bullwinkle;4.1;92;Adventure|Animation|Comedy|Family|Fantasy;Des McAnuff;Robert De Niro;Janeane Garofalo;Jonathan Winters;deforestation|fbi|lighthouse|moose|squirrel
The Adventures of Sharkboy and Lavagirl 3-D;3.5;93;Action|Adventure|Family|Fantasy;Robert Rodriguez;Taylor Lautner;Kristin Davis;Taylor Dooley;boy|bully|dream|dream sequence|planet
The Adventures of Tintin;7.4;107;Action|Adventure|Family|Mystery;Steven Spielberg;Toby Jones;Mackenzie Crook;Tony Curran;captain|morocco|ship|tintin|treasure
The Age of Adaline;7.2;112;Drama|Fantasy|Romance;Lee Toland Krieger;Harrison Ford;Michiel Huisman;Ellen Burstyn;hit by a pickup truck|immortality|paramedic|resuscitation|san francisco california
The Age of Innocence;7.2;139;Drama|Romance;Martin Scorsese;Richard E. Grant;Geraldine Chaplin;Stuart Wilson;19th century|countess|lawyer|love|new york
The Alamo;6;137;Drama|History|War|Western;John Lee Hancock;Dennis Quaid;Marc Blucas;Jordi Mollà;army|dictator|general|texan|texas
The Alamo;6;137;Drama|History|War|Western;John Lee Hancock;Dennis Quaid;Marc Blucas;Jordi Mollà;army|dictator|general|texan|texas
The Algerian;7.6;99;Action|Romance|Thriller;Giovanni Zelko;Zuhair Haddad;Harry Lennix;Ben Youcef;algeria|algerian|los angeles california|muslim
The Amazing Catfish;7;89;Comedy|Drama;Claudia Sainte-Luce;Ximena Ayala;Vera Wilson;José Manuel Orozco Angulo;actress shares first name with character|appendicitis|hospital|loss of mother|supermarket
The Amazing Spider-Man;7;153;Action|Adventure|Fantasy;Marc Webb;Emma Stone;Andrew Garfield;Chris Zylka;lizard|outcast|spider|spider man|teenager
The Amazing Spider-Man 2;6.7;142;Action|Adventure|Fantasy|Sci-Fi;Marc Webb;Emma Stone;Andrew Garfield;B.J. Novak;costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager
The American;6.3;105;Crime|Drama|Thriller;Anton Corbijn;Violante Placido;Thekla Reuten;Filippo Timi;ambush|assassin|priest|prostitute|sweden
The American President;6.8;114;Comedy|Drama|Romance;Rob Reiner;Shawna Waldron;Samantha Mathis;Wendie Malick;lobbyist|president|senator|state dinner|widower
The Amityville Horror;6;90;Drama|Horror|Mystery|Thriller;Andrew Douglas;Jimmy Bennett;Chloë Grace Moretz;Ryan Reynolds;ghost|haunted house|murder|nightmare|priest
The Andromeda Strain;7.2;115;Sci-Fi|Thriller;Robert Wise;David Wayne;Paula Kelly;Eric Christmas;alien|baby|new mexico|satellite|scientist
The Angry Birds Movie;6.3;97;Action|Animation|Comedy|Family;Clay Kaytis;Peter Dinklage;Josh Gad;Keegan-Michael Key;butt|downward duck|fish|kingfisher|pig
The Animal;4.8;84;Comedy|Sci-Fi;Luke Greenfield;Louis Lombardi;Michael Papajohn;Colleen Haskell;camera focus on a female butt|cartoon on tv|forest|hairy buttocks|seal the animal
The Ant Bully;5.9;88;Adventure|Animation|Comedy|Family|Fantasy;John A. Davis;Nicolas Cage;Meryl Streep;Julia Roberts;ant|miniaturization|punishment|shrinking|sudden change in size
The Apartment;8.3;125;Comedy|Drama|Romance;Billy Wilder;Fred MacMurray;Ray Walston;David White;apartment|elevator|elevator girl|love|mistress
The Apostle;7.2;134;Drama;Robert Duvall;John Beasley;Todd Allen;June Carter Cash;church|louisiana|minister|preacher|texas
The Apparition;4.1;83;Horror|Thriller;Todd Lincoln;Julianna Guill;Rick Gomez;Tim Williams;e mail|evil spirit|experiment|fear|supernatural
The Art of Getting By;6.6;83;Drama|Romance;Gavin Wiesen;Michael Angarano;Blair Underwood;Rita Wilson;art teacher|artist|high school|homework|principal
The Art of War;5.7;116;Action|Adventure|Crime|Thriller;Christian Duguay;Michael Biehn;Cary-Hiroyuki Tagawa;Anne Archer;blood splatter|fbi|murder|secretary general|united nations
The Artist;8;100;Comedy|Drama|Romance;Michel Hazanavicius;Bérénice Bejo;Ed Lauter;Beth Grant;1920s|jack russell terrier|modern silent movie|movie star|movie studio
The Assassin;6.4;105;Action|Drama;Hsiao-Hsien Hou;Qi Shu;Chen Chang;Satoshi Tsumabuki;black magic|china|love|refusal to kill|wuxia
The Assassination of Jesse James by the Coward Robert Ford;7.5;160;Biography|Crime|Drama|History|Western;Andrew Dominik;Brad Pitt;Jeremy Renner;Sam Shepard;long title|outlaw|robbery|train|train robbery
The Astronaut Farmer;6.3;104;Adventure|Drama|Sci-Fi;Michael Polish;J.K. Simmons;Virginia Madsen;Bruce Dern;bank|fbi|fuel|rocket|space travel
The Astronaut's Wife;5.3;109;Drama|Sci-Fi|Thriller;Rand Ravich;Johnny Depp;Charlize Theron;Clea DuVall;astronaut|electrocuted in bathtub|mission|pilot|sister
The Astronaut's Wife;5.3;109;Drama|Sci-Fi|Thriller;Rand Ravich;Johnny Depp;Charlize Theron;Clea DuVall;astronaut|electrocuted in bathtub|mission|pilot|sister
The A-Team;7.6;60;Action|Adventure|Crime;;George Peppard;Dirk Benedict;Dwight Schultz;1980s|cult tv|famous opening theme|good versus evil|hero for hire
The Avengers;8.1;173;Action|Adventure|Sci-Fi;Joss Whedon;Chris Hemsworth;Robert Downey Jr.;Scarlett Johansson;alien invasion|assassin|battle|iron man|soldier
The Avengers;8.1;173;Action|Adventure|Sci-Fi;Joss Whedon;Chris Hemsworth;Robert Downey Jr.;Scarlett Johansson;alien invasion|assassin|battle|iron man|soldier
The Aviator;7.5;170;Biography|Drama;Martin Scorsese;Leonardo DiCaprio;Adam Scott;Frances Conroy;1920s|aviation|fight|spruce goose|test flight
The Awakening;6.5;107;Horror|Thriller;Nick Murphy;Isaac Hempstead Wright;Imelda Staunton;Joseph Mawle;boarding school|boy|british horror|ghost|school
The Baader Meinhof Complex;7.4;184;Action|Biography|Crime|Drama;Uli Edel;Moritz Bleibtreu;Alexandra Maria Lara;Martina Gedeck;bonn germany|failed kidnapping|handcuffs|projectile|terrorist
The Bachelor;2.9;60;Game-Show|Reality-TV|Romance;;Chris Harrison;;;bachelor|seeking love|single guy|tv host|women rivals for man
The Back-up Plan;5.3;104;Comedy|Romance;Alan Poul;Danneel Ackles;Noureen DeWulf;Tom Bosley;artificial insemination|baby|cheese|chick flick|pet shop
The Bad News Bears;7.3;102;Comedy|Drama|Family|Sport;Michael Ritchie;Tatum O'Neal;Vic Morrow;Joyce Van Patten;baseball|california|coach|little league|swimming pool
The Ballad of Cable Hogue;7.3;121;Comedy|Drama|Romance|Western;Sam Peckinpah;Slim Pickens;Jason Robards;L.Q. Jones;desert|partner|prostitute|stagecoach|water
The Ballad of Gregorio Cortez;7.1;105;Western;Robert M. Young;Barry Corbin;Bruce McGill;Ned Beatty;
The Ballad of Jack and Rose;6.7;112;Drama;Rebecca Miller;Beau Bridges;Susanna Thompson;Ryan McDonald;commune|defecation|environmentalism|fellatio|island
The Banger Sisters;5.6;98;Comedy|Drama;Bob Dolman;Erika Christensen;Eva Amurri Martino;Sal Lopez;bartender|groupie|lawyer|road trip|writer
The Bank Job;7.3;111;Crime|Drama|Romance|Thriller;Roger Donaldson;Jason Statham;Saffron Burrows;Daniel Mays;chase|heist|london england|mobster|safe deposit
The Barbarian Invasions;7.7;112;Comedy|Crime|Drama|Mystery|Romance;Denys Arcand;Marie-Josée Croze;Stéphane Rousseau;Marina Hands;cancer|dying|friend|money|socialist
The Barbarians;4.8;87;Adventure|Fantasy;Ruggero Deodato;Michael Berryman;Eva LaRue;Richard Lynch;bare breasts|comic relief|dragon|gladiator|harem
The Basket;6.5;105;Drama;Rich Cowan;Eric Dane;Karen Allen;Peter Coyote;basketball|german immigrant|opera|two word title|war orphan
The Battle of Shaker Heights;6.1;79;Comedy|Drama|Romance;Efram Potelle;Shiri Appleby;Elden Henson;Kathleen Quinlan;bully comeuppance|high school|painter|reference to led zeppelin|wetting pants
The Beach;6.6;119;Adventure|Drama|Thriller;Danny Boyle;Leonardo DiCaprio;Virginie Ledoyen;Peter Youngblood Hills;love|map|paradise|thailand|travel
The Beast from 20,000 Fathoms;6.7;80;Adventure|Horror|Sci-Fi;Eugène Lourié;Kenneth Tobey;Cecil Kellaway;Ross Elliott;arctic|beast|dinosaur|monster|rhedosaurus
The Beastmaster;6.2;90;Action|Adventure|Fantasy;Don Coscarelli;Vanna Bonta;John Amos;Rip Torn;breasts|critically acclaimed|female frontal nudity|psychotronic film|sword and sorcery
The Beaver;6.7;91;Drama;Jodie Foster;Jennifer Lawrence;Cherry Jones;Riley Thomas Stewart;beaver puppet|depression|dysfunctional family|puppet|speech
The Believer;7.2;98;Drama;Henry Bean;Ryan Gosling;Theresa Russell;Summer Phoenix;jew|jewish nazi|nazism|racism|skinhead
The Benchwarmers;5.6;75;Comedy|Romance|Sport;Dennis Dugan;Jon Lovitz;Jon Heder;Tim Meadows;baseball|baseball team|bully|millionaire|team
The Best Exotic Marigold Hotel;7.3;124;Comedy|Drama;John Madden;Tom Wilkinson;Penelope Wilton;Celia Imrie;hotel|india|marigold|retiree|retirement
The Best Little Whorehouse in Texas;5.8;114;Comedy|Musical;Colin Higgins;Dolly Parton;Barry Corbin;Dom DeLuise;chicken|governor|locker room|sheriff|texas
The Best Man;6.7;120;Comedy|Drama;Malcolm D. Lee;Harold Perrineau;Sanaa Lathan;Jarrod Bunch;african american|bachelor party|brooklyn bridge|family relationships|stripper
The Best Man Holiday;6.7;123;Comedy|Drama;Malcolm D. Lee;Harold Perrineau;Sanaa Lathan;Eddie Cibrian;childbirth|christmas|gay slur|infidelity|punched in the nose
The Best of Me;6.7;118;Drama|Romance;Michael Hoffman;Luke Bracey;Gerald McRaney;Clarke Peters;adultery|based on novel|heart transplant|infidelity|protective male
The Best Offer;7.8;131;Crime|Drama|Mystery|Romance;Giuseppe Tornatore;Jim Sturgess;Sean Buchanan;Liya Kebede;antique|art|heiress|older man younger woman relationship|plot twist
The Best Years of Our Lives;8.1;172;Drama|Romance|War;William Wyler;Myrna Loy;Teresa Wright;Dana Andrews;love|pity|readjusting to civilian life|veteran|world war two veteran
The Betrayed;6.1;98;Crime|Drama|Mystery|Thriller;Amanda Gusack;Alice Krige;Christian Campbell;Blaine Anderson;blood splatter|ski mask|stolen money|vomiting|warehouse
The Beyond;6.9;82;Horror;Lucio Fulci;Catriona MacColl;David Warbeck;Al Cliver;doctor|hell|hotel|painter|plumber
The BFG;6.8;117;Adventure|Family|Fantasy;Steven Spielberg;Mark Rylance;Penelope Wilton;Rafe Spall;cannibal|evil brother|giant|london england|queen
The Big Bounce;4.9;88;Comedy|Crime;George Armitage;Morgan Freeman;Andrew Wilson;Willie Nelson;breasts|consensual sex|female nudity|judge|surfer
The Big Hit;6.1;91;Action|Comedy|Crime|Thriller;Kirk Wong;Bokeem Woodbine;Elliott Gould;Antonio Sabato Jr.;hitman|kidnapping|kosher|vhs|video store
The Big Lebowski;8.2;117;Comedy|Crime;Joel Coen;Philip Seymour Hoffman;Jeff Bridges;Steve Buscemi;death|drug|nihilism|rug|white russian
The Big Parade;8.3;151;Drama|Romance|War;King Vidor;John Gilbert;Renée Adorée;Claire Adams;chewing gum|climbing a tree|france|translation problems|world war one
The Big Short;7.8;130;Biography|Comedy|Drama|History;Adam McKay;Ryan Gosling;Christian Bale;Charlie Talbert;bank|banking|finance|fraud|mortgage
The Big Swap;5.6;114;Drama;Niall Johnson;Kevin Howarth;Mark Caven;Thierry Harcourt;breasts|female frontal nudity|jealousy|male full frontal nudity|male nudity
The Big Tease;6.3;86;Comedy;Kevin Allen;Craig Ferguson;Frances Fisher;Mary McCormack;competition|fake documentary|hairdresser|nudity|reference to liberace
The Big Wedding;5.6;89;Comedy;Justin Zackham;Robin Williams;Robert De Niro;Topher Grace;adoption|divorce|family relationships|farce|wedding
The Big Year;6.2;100;Comedy;David Frankel;Joel McHale;Kevin Pollak;JoBeth Williams;alaska|birding|competition|migration|storm
The Birth of a Nation;5.4;120;Biography|Drama;Nate Parker;Jason Stuart;Nate Parker;Aunjanue Ellis;
The Black Dahlia;5.6;121;Crime|Drama|Mystery|Thriller;Brian De Palma;Scarlett Johansson;Mia Kirshner;Mike Starr;black dahlia|boxer|corpse|death|partner
The Black Hole;5.9;98;Action|Sci-Fi;Gary Nelson;Robert Forster;Maximilian Schell;Yvette Mimieux;black hole|escape|palomino|robot|scientist
The Black Stallion;7.4;118;Adventure|Family|Sport;Carroll Ballard;Teri Garr;Kelly Reno;Hoyt Axton;black horse|boy horse relationship|horse|rescued by a horse|training
The Blair Witch Project;6.4;81;Horror;Daniel Myrick;Heather Donahue;Joshua Leonard;Michael C. Williams;found footage|looking at the camera|lost in the woods|maryland|screaming in horror
The Blind Side;7.7;129;Biography|Drama|Sport;John Lee Hancock;Catherine Dyer;Quinton Aaron;Kim Dickens;american football|based on true story|football star|high school football|left tackle
The Blood of Heroes;6.5;90;Action|Sci-Fi|Sport;David Webb Peoples;Delroy Lindo;Joan Chen;Anna Katarina;battle|blood splatter|combat|game|showdown
The Blood of My Brother;6.6;90;Documentary|War;Andrew Berends;;;;american|blood|dream|patrol|tank
The Blue Bird;6.5;83;Drama|Family|Fantasy;Walter Lang;Spring Byington;Nigel Bruce;Gale Sondergaard;1800s|bird|blue bird of happiness|foreign language adaptation|past
The Blue Butterfly;6.3;97;Adventure|Drama;Léa Pool;William Hurt;Marc Donato;Raoul Max Trujillo;butterfly|entomologist|morpho butterfly|rain|rain forest
The Blue Lagoon;5.7;104;Adventure|Drama|Romance;Randal Kleiser;Brooke Shields;Christopher Atkins;Leo McKern;coming of age|island|poison|teenage boy|teenage girl
The Blue Room;6.3;76;Crime|Romance|Thriller;Mathieu Amalric;Mathieu Amalric;Léa Drucker;Laurent Poitrenaux;male pubic hair|manipulative personality|murder of wife|neglected wife|pubic hair
The Blues Brothers;7.9;148;Action|Comedy|Crime|Music;John Landis;John Belushi;Aretha Franklin;Ray Charles;band|catholic|money|parolee|prison
The Bodyguard;6.1;129;Action|Drama|Music|Romance;Mick Jackson;Bill Cobbs;Mike Starr;DeVaughn Nixon;bodyguard|manager|pop singer|secret service agent|singer
The Bold and the Beautiful;3.5;30;Drama|Romance;;Ronn Moss;Katherine Kelly Lang;Hunter Tylo;beverly hills california|family relationships|los angeles california|soap opera
The Bone Collector;6.7;118;Crime|Drama|Mystery|Thriller;Phillip Noyce;Denzel Washington;Angelina Jolie Pitt;Leland Orser;new york city|police|quadriplegic|serial killer|suicide
The Book of Eli;6.9;118;Action|Adventure|Drama|Thriller;Albert Hughes;Denzel Washington;Mila Kunis;Gary Oldman;blind|book|long take|post apocalypse|water
The Book of Life;7.3;95;Adventure|Animation|Comedy|Family|Fantasy|Romance;Jorge R. Gutiérrez;Channing Tatum;Hector Elizondo;Ana de la Reguera;afterlife|bullfight|bullfighting|love triangle|mexico
The Book of Mormon Movie, Volume 1: The Journey;3.3;120;Adventure;Gary Rogers;Noah Danby;Kirby Heyborne;Bruce Newbold;jerusalem|journey|promised land|ship|wilderness
The Book Thief;7.6;131;Drama|War;Brian Percival;Emily Watson;Sophie Nélisse;Roger Allam;basement|book|girl|library|track
The Boondock Saints;7.9;102;Action|Crime|Thriller;Troy Duffy;Norman Reedus;David Della Rocco;Bob Marley;fbi|fbi agent|friend|irish|mafia
The Boondock Saints II: All Saints Day;6.3;138;Action|Crime|Thriller;Troy Duffy;Norman Reedus;Julie Benz;Clifton Collins Jr.;final showdown|ireland|justice|priest|sheep
The Border;7.4;41;Action|Crime|Drama|Thriller;;Jacek Koman;Marian Dziedziel;Jaroslaw Boberek;
The Borrowers;5.8;89;Adventure|Comedy|Family|Fantasy;Peter Hewitt;Jim Broadbent;Bradley Pierce;Mark Williams;child's point of view|house|lawyer|real estate|washing machine
The Boss;5.3;99;Comedy;Ben Falcone;Peter Dinklage;Tyler Labine;Ben Falcone;business|girl scouts|orphanage|overweight woman|quitting a job
The Bounty;7;132;Action|Adventure|Drama|History|Romance;Roger Donaldson;Liam Neeson;Anthony Hopkins;Laurence Olivier;lieutenant|lifeboat|mutiny|sailing ship|ship
The Bounty Hunter;5.5;110;Action|Comedy|Romance;Andy Tennant;Gerard Butler;Dorian Missick;Peter Greene;bounty hunter|death|murder|police officer|reporter
The Bourne Identity;7.9;119;Action|Mystery|Thriller;Doug Liman;Matt Damon;Josh Hamilton;Nicky Naudé;amnesia|assassin|money|political thriller|three word title
The Bourne Legacy;6.7;135;Action|Adventure|Thriller;Tony Gilroy;Jeremy Renner;Scott Glenn;Stacy Keach;assassin|cia|drone|pill|wolf
The Bourne Supremacy;7.8;108;Action|Mystery|Thriller;Paul Greengrass;Matt Damon;Joan Allen;Oksana Akinshina;assassin|car chase|cia|hidden truth|one against many
The Bourne Ultimatum;8.1;115;Action|Mystery|Thriller;Paul Greengrass;Matt Damon;Edgar Ramírez;Albert Finney;action hero|cia|dark past|flashback|memory
The Box;5.6;115;Drama|Fantasy|Mystery|Thriller;Richard Kelly;Frank Langella;Gillian Jacobs;Celia Weston;alien|library|moral dilemma|nosebleed|supernatural power
The Boxtrolls;6.8;96;Adventure|Animation|Comedy|Family|Fantasy;Graham Annable;Isaac Hempstead Wright;Dee Bradley Baker;Tracy Morgan;chase|puppet animation|red hat|stop motion animation|troll
The Boy;6;97;Horror|Mystery|Thriller;William Brent Bell;Lauren Cohan;Rupert Evans;Stephanie Lemelin;animate doll|doll|england|nanny|surprise ending
The Boy in the Striped Pajamas;7.8;94;Drama|War;Mark Herman;Richard Johnson;Sheila Hancock;Cara Horgan;boy|fence|jew|nazis|poison gas
The Boy Next Door;4.6;91;Mystery|Thriller;Rob Cohen;Ryan Guzman;Hill Harper;Adam Hicks;adultery|argument|older woman younger man relationship|oral sex|sex scene
The Boys from Brazil;7;125;Drama|Thriller;Franklin J. Schaffner;Laurence Olivier;Anne Meara;Steve Guttenberg;1970s|jew|nazi|nazi hunter|paraguay
The Brain That Sings;8.2;62;Documentary|Family;Amal Al-Agroobi;;;;autism|middle east|music therapy|united arab emirates
The Brain That Wouldn't Die;4.1;70;Horror|Sci-Fi;Joseph Green;Virginia Leith;Jason Evers;Bruce Kerr;brain|fiance|laboratory|surgeon|surgery
The Brass Teapot;6.4;101;Comedy|Fantasy|Thriller;Ramaa Mosley;Jack McBrayer;Michael Angarano;Alia Shawkat;mini dress|mini skirt|money|voyeur|voyeurism
The Brave Little Toaster;7.3;90;Adventure|Animation|Comedy|Family|Fantasy|Musical;Jerry Rees;Jon Lovitz;Phil Hartman;Mindy Sterling;journey|obsolescence|radio|toaster|vacuum cleaner
The Break-Up;5.8;106;Comedy|Drama|Romance;Peyton Reed;Jon Favreau;John Michael Higgins;Ann-Margret;art|break up|football video game|kitchen|talking to one's self in a mirror
The Bridge of San Luis Rey;5.1;120;Drama|Romance;Mary McGuckian;Robert De Niro;F. Murray Abraham;Geraldine Chaplin;bridge|friar|inquisition|peru|rope bridge
The Bridge on the River Kwai;8.2;161;Adventure|Drama|War;David Lean;William Holden;Sessue Hayakawa;Jack Hawkins;allies|bridge|construction|jungle|sabotage
The Bridges of Madison County;7.5;135;Drama|Romance;Clint Eastwood;Clint Eastwood;Meryl Streep;Debra Monk;1960s|bridge|housewife|love|photographer
The Broadway Melody;6.3;100;Musical|Romance;Harry Beaumont;Anita Page;Bessie Love;Charles King;sibling rivalry|singer|sister act|whistling|wisecrack humor
The Broken Hearts Club: A Romantic Comedy;7;94;Comedy|Drama|Romance|Sport;Greg Berlanti;Justin Theroux;Nia Long;Mary McCormack;friend|gay|lesbian|photographer|restaurant
The Brothers;6.3;106;Comedy|Drama;Gary Hardwick;Julie Benz;Tatyana Ali;Jenifer Lewis;african american|commitment|friend|friendship|playboy
The Brothers Bloom;6.9;114;Adventure|Comedy|Drama|Romance;Rian Johnson;Zachary Gordon;Maximilian Schell;Nora Zehetner;con man|eccentric|heiress|love|revenge
The Brothers Grimm;5.9;118;Action|Adventure|Comedy|Fantasy|Thriller;Terry Gilliam;Matt Damon;Heath Ledger;Mackenzie Crook;creature|curse|exorcism|girl|village
The Brothers McMullen;6.6;98;Comedy|Drama|Romance;Edward Burns;Shari Albert;Michael McGlone;Maxine Bahns;abusive father|critically acclaimed|loss of father|love|true love
The Brothers Solomon;5.3;93;Comedy;Bob Odenkirk;Jenna Fischer;Lee Majors;Will Forte;antarctica|coma|neighbor|phd|pregnancy
The Brown Bunny;5;93;Drama;Vincent Gallo;Vincent Gallo;Cheryl Tiegs;Anna Vareschi;boyfriend girlfriend relationship|erection|female frontal nudity|gang rape|prostitute
The Bubble;7.3;90;Comedy|Drama|Romance;Eytan Fox;Ohad Knoller;Lior Ashkenazi;Yousef 'Joe' Sweid;gay|hairy chest|homosexual|israel|male nudity
The Bucket List;7.4;97;Adventure|Comedy|Drama;Rob Reiner;Morgan Freeman;Noel Gugliemi;Sean Hayes;billionaire|friend|hospital|list|mechanic
The Business of Fancydancing;6.9;103;Drama|Music;Sherman Alexie;William Joseph Elk III;Leo Rossi;Cynthia Geary;funeral|gay|native american protagonist|poet|reservation
The Business of Strangers;6.4;84;Drama|Thriller;Patrick Stettner;Stockard Channing;Tony Devon;Frederick Weller;airport|businesswoman|hotel|revenge|vegetarian
The Butterfly Effect;7.7;120;Sci-Fi|Thriller;Eric Bress;Logan Lerman;Eric Stoltz;Cameron Bright;blackout|child pornography|memory|surprise ending|time travel
The Cabin in the Woods;7;95;Fantasy|Horror|Mystery|Thriller;Drew Goddard;Chris Hemsworth;Bradley Whitford;Kristen Connolly;cabin in the woods|dark humor|hatchet|killed in an elevator|robot
The Cable Guy;6;96;Comedy|Drama|Thriller;Ben Stiller;Matthew Broderick;Janeane Garofalo;Andy Dick;cable guy|foreplay|friend|kissing|television
The Californians;5;87;Drama;Jonathan Parker;Keith Carradine;Joanne Whalley;Illeana Douglas;based on novel
The Call;6.7;94;Crime|Thriller;Brad Anderson;Michael Imperioli;Tara Platt;Roma Maffia;911 operator|calling 911|die hard scenario|head held underwater|white villain
The Call of Cthulhu;7.3;47;Fantasy|Horror|Mystery|Thriller;Andrew Leman;Dan Novy;David Mersault;Barry Lynch;1920s|cthulhu|dream|sailor|silent film
The Calling;5.8;108;Thriller;Jason Stone;Topher Grace;Ellen Burstyn;Christopher Heyerdahl;bouquet|house fire|praying|serial killer|tied to a chair
The Calling;5.8;108;Thriller;Jason Stone;Topher Grace;Ellen Burstyn;Christopher Heyerdahl;bouquet|house fire|praying|serial killer|tied to a chair
The Campaign;6.2;85;Comedy;Jay Roach;Will Ferrell;Thomas Middleditch;Katherine LaNasa;campaigning|congressman|north carolina|title at the end|u.s. congressman
The Canyons;3.9;99;Drama|Thriller;Paul Schrader;Nolan Gerard Funk;Gus Van Sant;James Deen;cocaine|homosexual|penis|psychopath|pubic hair
The Case of the Grinning Cat;7.4;59;Documentary;Chris Marker;Marina Vlady;Bertrand Cantat;Léon Schwartzenberg;
The Cat in the Hat;3.8;82;Adventure|Comedy|Family|Fantasy;Bo Welch;Sean Hayes;Kelly Preston;Spencer Breslin;based on cult comic book|cat|home alone|imagination|talking cat
The Cave;5.1;93;Adventure|Horror|Thriller;Bruce Hunt;Eddie Cibrian;Cole Hauser;Marcel Iures;cave|diver|diving|flare|parasite
The Caveman's Valentine;6;105;Crime|Drama|Music|Mystery|Thriller;Kasi Lemmons;Colm Feore;Tamara Tunie;Aunjanue Ellis;chrysler building manhattan new york city|delusion|manhattan new york city|new york city|title directed by female
The Celebration;8.1;105;Drama;Thomas Vinterberg;Ulrich Thomsen;Paprika Steen;Trine Dyrholm;dogme 95|family secret|haunted by the past|secret|speech
The Cell;6.3;109;Horror|Sci-Fi|Thriller;Tarsem Singh;Dylan Baker;Jake Weber;James Gammon;coma|fbi|race against time|serial killer|strong female lead
The Chambermaid on the Titanic;6.8;101;Drama|Romance;Bigas Luna;Olivier Martinez;Aitana Sánchez-Gijón;Romane Bohringer;foundry|foundry worker|french|friend|titanic
The Change-Up;6.4;118;Comedy|Fantasy;David Dobkin;Ryan Reynolds;Olivia Wilde;Mircea Monroe;best friend|fountain|law firm|lawyer|sex
The Charge of the Light Brigade;7.1;100;Action|Adventure|Romance|War;Michael Curtiz;Errol Flynn;David Niven;Spring Byington;attack|fort|india|lancer|massacre
The Children of Huang Shi;7.1;125;Drama|War;Roger Spottiswoode;Radha Mitchell;Guang Li;Matthew Walker;british|communist|journalist|nurse|orphan
The Chorus;7.9;97;Drama|Music;Christophe Barratier;Jean-Baptiste Maunier;François Berléand;Gérard Jugnot;boarding school|boy|choir|school|teacher
The Christmas Bunny;6.2;98;Drama|Family;Tom Seidman;Florence Henderson;Derek Brandon;Charles Irving Beale;animal in title|christmas|farm|michigan|rabbit
The Christmas Candle;5.8;100;Drama|Family;John Stephenson;Samantha Barks;Hans Matheson;Lesley Manville;angel|candle|christmas|miracle|village
The Chronicles of Narnia: Prince Caspian;6.6;150;Action|Adventure|Family|Fantasy;Andrew Adamson;Peter Dinklage;Pierfrancesco Favino;Damián Alcázar;brother brother relationship|brother sister relationship|good versus evil|king|narnia
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;6.9;150;Adventure|Family|Fantasy;Andrew Adamson;Jim Broadbent;Kiran Shah;Shane Rangi;hide and seek|lion|magic|professor|snow
The Chronicles of Narnia: The Voyage of the Dawn Treader;6.3;113;Adventure|Family|Fantasy;Michael Apted;Bruce Spence;Shane Rangi;Laura Brent;dragon|king|mouse|quest|warrior
The Chronicles of Riddick;6.7;134;Action|Adventure|Sci-Fi|Thriller;David Twohy;Vin Diesel;Alexa Davalos;Christina Cox;bounty hunter|escape|necromonger|planet|warrior
The Chumscrubber;7;108;Comedy|Drama;Arie Posin;Rory Culkin;John Heard;Tim DeKay;chumscrubber|death|friend|pills|school
The Circle;7.5;90;Drama;Jafar Panahi;Fereshteh Sadre Orafaiy;Nargess Mamizadeh;Mojgan Faramarzi;abortion|bus|hospital|prison|prostitution
The City of Your Final Destination;6.4;117;Drama|Romance;James Ivory;Alexandra Maria Lara;Omar Metwally;Diego Velazquez;child|student|university|widow|writer
